model,metric,source,genre,gap,p_perm,p_maxT,perm_q,perm_q_by,maxT_q,maxT_q_by
syntax_full_signature_inventory,step_magnitude_distance,raw,Wisdom,-0.0010400257960477277,0.5694430556944305,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_controlled,Hymn,0.013370447918993271,0.009099090090990901,0.24817518248175183,0.18198180181981802,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_controlled,Lament,0.006921483306527553,0.0410958904109589,0.7718228177182281,0.10855518221762728,0.7184898835829857,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_controlled,Praise,-0.0072880745868856775,0.945005499450055,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_controlled,Royal,0.0008531713000635953,0.49565043495650435,0.9997000299970003,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_controlled,Thanksgiving,0.021206851821687755,0.0100989901009899,0.0341965803419658,0.10875835493373741,0.7198346147893923,0.3682708652211702,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_controlled,Trust,-0.0010335050365554053,0.5774422557744225,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_controlled,Wisdom,0.005781697648243079,0.27647235276472354,0.859014098590141,0.6790549015273911,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_and_content_controlled,Hymn,0.015709119670872476,0.004299570042995701,0.15858414158584141,0.06019398060193981,0.3984035145220498,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_and_content_controlled,Lament,-0.0004755935548024601,0.5493450654934506,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_and_content_controlled,Praise,-0.004416606025200253,0.8618138186181382,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_and_content_controlled,Royal,-0.0011092193434504166,0.5732426757324267,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_and_content_controlled,Thanksgiving,0.016457716577767983,0.037196280371962806,0.1354864513548645,0.5864413558644135,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_and_content_controlled,Trust,-0.000712399953631458,0.5416458354164584,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,step_magnitude_distance,length_and_content_controlled,Wisdom,0.0013144292397899628,0.44065593440655937,0.9984001599840016,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,raw,Hymn,0.0028272488289070308,0.5096490350964904,0.9994000599940006,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,raw,Lament,0.010877450876065675,0.052094790520947905,0.7430256974302569,0.07080489134185172,0.413677173382365,0.9994000599940006,1.0
syntax_full_signature_inventory,turning_angle_distance,raw,Praise,-0.009552229420887182,0.7985201479852014,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,raw,Royal,-0.0008181011093932322,0.6578552117753079,1.0,0.7535171338357494,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,raw,Thanksgiving,0.01038592917266426,0.25088625544414056,0.7771222877712228,0.9303167913724902,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,raw,Trust,0.02663353853488308,0.036309092789903796,0.0740925907409259,0.2641629110332165,1.0,0.571994800519948,1.0
syntax_full_signature_inventory,turning_angle_distance,raw,Wisdom,0.002098619773175131,0.5444768318423963,0.9997000299970003,0.6413575785278615,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_controlled,Hymn,-0.01330745238789664,0.8726127387261274,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_controlled,Lament,0.012204385593697206,0.015398460153984602,0.5767423257674232,0.027017298270172983,0.15784841087987364,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_controlled,Praise,-0.015235281530422874,0.9331066893310669,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_controlled,Royal,-0.004793023043434038,0.7880244317612897,1.0,0.840112035587775,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_controlled,Thanksgiving,0.004043721516806277,0.47675478577939834,0.9955004499550045,0.9393857381101888,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_controlled,Trust,0.0218883446140544,0.05348091445122582,0.1080891910808919,0.355924706520227,1.0,0.7450433528075764,1.0
syntax_full_signature_inventory,turning_angle_distance,length_controlled,Wisdom,0.0008431003486194383,0.6094079807015781,0.9999000099990001,0.6323426896527127,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_and_content_controlled,Hymn,-0.008282316918359362,0.8495150484951505,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_and_content_controlled,Lament,-0.0011042683832729755,0.5780421957804219,1.0,0.6267536167731542,1.0,1.0,1.0
syntax_full_signature_inventory,turning_angle_distance,length_and_content_controlled,Praise,-0.010231247252131896,0.8608139186081392,1.0,1.0,1.0,1.0,1.0
