model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
lexeme_icf,1110,0.07885698672708326,0.026285925594901977,0.1428992803431559,0.02399744652211666,0.05375898629426956,3416,1.0204719989449345,48,0.09823691533550331,1.3809685399759892,26,0.14170841607459594,2.1896054532751985,27,0.16964279320608605,2.709227921202347,495,0.07621756624795972,0.9713747100809723,514,0.07164088288660386,0.8862413458411093
word_vocalized_icf_spacing4_psalm,1110,1.0,1.0,1.3804077286834e-16,0.8899396061897278,0.10964923352003098,3416,1.003749778060839,48,1.0,1.003749778060839,26,1.0,1.003749778060839,27,1.0,1.003749778060839,495,1.0,1.003749778060839,514,1.0,1.003749778060839
homograph_tf_icf,1110,0.08356099078316456,0.03258669144721846,0.14751948996381528,0.027174172922968864,0.058335110545158386,3416,0.9666017143576942,48,0.09605136699023475,1.1807159260278879,26,0.14531764200935002,2.025254910504094,27,0.19618372439519505,2.897218328598049,495,0.0801450694141335,0.9080448463393037,514,0.07664436876045126,0.8480346634328655
homograph_icf,1110,0.08116527837955798,0.030491954856675628,0.14449295728763065,0.026191506534814835,0.057228341698646545,3416,0.960603963228997,48,0.0973231416739634,1.2429441956175158,26,0.14138899881377304,2.012944790285311,27,0.18330427486525866,2.7453664332573093,495,0.07854789791181213,0.914868224780931,514,0.0737653878289728,0.8312993157249406
lexeme_icf_spacing4_psalm,1110,1.0,1.0,1.1814528091442391e-16,0.9423790574073792,0.06249188631772995,3416,0.9220547816344737,48,1.0,0.9220547816344737,26,1.0,0.9220547816344737,27,1.0,0.9220547816344737,495,1.0,0.9220547816344737,514,1.0,0.9220547816344737
word_consonantal_icf_spacing4_psalm,1110,1.0,1.0,1.2432783127413844e-16,0.9357276558876038,0.07120642066001892,3416,0.9026200659526195,48,1.0,0.9026200659526195,26,1.0,0.9026200659526195,27,1.0,0.9026200659526195,495,1.0,0.9026200659526195,514,1.0,0.9026200659526195
homograph_icf_spacing4_psalm,1110,1.0,1.0,1.17438241166321e-16,0.9468584060668945,0.059130504727363586,3416,0.898717069609476,48,1.0,0.898717069609476,26,1.0,0.898717069609476,27,1.0,0.898717069609476,495,1.0,0.898717069609476,514,1.0,0.898717069609476
word_vocalized_binary,1110,0.07668747947087044,0.0,0.14986820397034356,0.020551014691591263,0.06473550945520401,3416,0.8671664941190392,48,0.06899280165672277,0.748303170436196,26,0.13401637336684302,1.7527530041880348,27,0.12056948363920751,1.5450325453424834,495,0.08198538384009821,0.9490057259998641,514,0.06709899020719527,0.7190485702103651
word_vocalized_log_count,1110,0.07784864552448546,0.0,0.15160844648973765,0.020868947729468346,0.06585367023944855,3416,0.865247109050034,48,0.07286278923026164,0.7895359713701613,26,0.13401637336684305,1.7181643061952774,27,0.12425849760111711,1.569989182010921,495,0.08265141039674709,0.9381779700756752,514,0.06840997929954944,0.7219192399940441
word_vocalized_count,1110,0.07833844535145167,0.0,0.15266480717701914,0.021007396280765533,0.06657283008098602,3416,0.8611778859475068,48,0.07524280165672277,0.8146777793580313,26,0.13401637336684302,1.6975240041410553,27,0.12552569823274243,1.5699843588567604,495,0.08288603034356079,0.9294878103802968,514,0.06895294801693404,0.7201969884387162
word_cantillation_binary,1110,0.05273892213455283,0.0,0.13001516740314126,0.012096184305846691,0.04915359616279602,3416,0.8268517667374318,48,0.05775645451262628,0.9289304093957523,26,0.1280816291375318,2.359653288592414,27,0.030961404534318265,0.38380142453850635,495,0.05479090596781035,0.8685981290272097,514,0.04762707202077633,0.7228542871461905
