model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
word_consonantal_icf_position4,2392,331,0.8784428938670584,0.9036276834330947,1.1302991273781713,0.3769848204592828,0.7533143069188886,0.5604065414422698,3.2247070979409834e-05
word_vocalized_binary,2392,331,0.8784428938670584,0.9032078208248595,0.8595950348355526,0.18924469348065098,0.6703503413549016,0.5522158453657205,5.440063683591553e-05
word_vocalized_log_count,2392,331,0.8784428938670584,0.9027213945713222,0.84458014780178,0.188267361248213,0.6563127865535671,0.5513955127363114,6.970040772417165e-05
lexeme_icf_position_mean,2392,331,0.8784428938670584,0.9023977305560418,1.1889726893076713,0.5088644989506759,0.6801081903569954,0.5491965918620982,0.000984694070440034
word_vocalized_count,2392,331,0.8784428938670584,0.9023736478504515,0.8343803681234899,0.18583063570566968,0.6485497324178202,0.550993240307571,7.85985491914e-05
word_consonantal_icf_position8,2392,331,0.8784428938670584,0.9020678194492051,1.0158293115396537,0.2917202471155435,0.7241090644241102,0.5565486414938011,4.497044849429757e-05
homograph_icf_spacing4,2254,314,0.8777258566978193,0.9020378133461299,0.5219131288320228,0.33788731659870724,0.18402581223331554,0.5781575853825329,3.497499945111014e-06
lexeme_icf,2392,331,0.8784428938670584,0.9020251533768248,1.0231033719231533,0.38826522048436685,0.6348381514387864,0.5492092220796411,0.0009820525360544228
lexeme_tf_icf,2392,331,0.8784428938670584,0.9016435994231216,0.9764729307078907,0.37516612945208794,0.6013068012558027,0.5468656852145621,0.0015982559348057157
lexeme_icf_spacing4,2237,313,0.8772549019607843,0.9014670707451011,0.5185642782563178,0.35773685617886863,0.16082742207744916,0.5696112862245619,3.234819341270541e-05
homograph_icf,2392,331,0.8784428938670584,0.901424693093783,1.001138719812525,0.41128036598361234,0.5898583538289126,0.5460131455304186,0.0019379371463321543
homograph_icf_position_mean,2392,331,0.8784428938670584,0.9012238573341442,1.1786458327018619,0.5426522952845658,0.635993537417296,0.5459361012034071,0.0019679524394127794
word_consonantal_icf_spacing2,2103,301,0.8747920133111481,0.9007265856804842,0.2551774208369734,0.10713232286948073,0.1480450979674927,0.5743100743598372,1.4756391670166037e-05
homograph_tf_icf,2392,331,0.8784428938670584,0.9006005672256089,0.9534519222235013,0.3949018544700542,0.5585500677534471,0.5441634501712658,0.0027857264852021216
word_vocalized_icf_position_mean,2392,331,0.8784428938670584,0.900057198788204,1.1240108252606142,0.23795337449661855,0.8860574507639957,0.5471947023815538,0.00023466157911671432
word_vocalized_icf,2392,331,0.8784428938670584,0.900050263588941,1.0446484378501157,0.1896343651787218,0.855014072671394,0.5471921763380453,0.00023482369540168158
word_vocalized_tf_icf,2392,331,0.8784428938670584,0.8998159073932069,1.0404360029536321,0.1923411459256194,0.8480948570280127,0.5467627489415877,0.0002644561586617766
lexeme_icf_position2,2392,331,0.8784428938670584,0.8997802963051214,1.2215855303394607,0.5875809530125496,0.6340045773269111,0.5413033374086835,0.004383307890520535
homograph_icf_position2,2392,331,0.8784428938670584,0.8991802833934743,1.2158504953731721,0.6268520163836269,0.5889984789895453,0.5381584132405096,0.007856993481360415
word_vocalized_icf_spacing2,1817,240,0.8833252309188138,0.89916093886609,0.2794842055558756,0.16269950689287777,0.11678469866299784,0.5495631535498073,0.006101669887465077
lexeme_icf_position4,2392,331,0.8784428938670584,0.8990696164457606,1.2741965421021992,0.626888774490724,0.6473077676114752,0.5443017510533601,0.0020950265486746476
lexeme_icf_position8,2392,331,0.8784428938670584,0.8990680930141698,1.1656527177296951,0.5164175452095253,0.6492351725201698,0.5417706554577696,0.002423186166113564
word_cantillation_binary,2392,331,0.8784428938670584,0.8988661655800165,0.778493271082209,0.09251919428432397,0.685974076797885,0.532115485657125,0.0032615051925952944
word_vocalized_icf_position2,2392,331,0.8784428938670584,0.898733533941708,1.1184801095114667,0.27002314457975646,0.8484569649317102,0.5416279339995352,0.00087236002771481
homograph_icf_position4,2392,331,0.8784428938670584,0.898493059316639,1.2816408535581063,0.6763194138472937,0.6053214397108126,0.5411170416999262,0.004020464856336335
word_cantillation_log_count,2392,331,0.8784428938670584,0.8983098675926124,0.751990966045635,0.09620361110495089,0.6557873549406841,0.5315041831280501,0.003809876643443117
homograph_icf_position8,2392,331,0.8784428938670584,0.8979017827825183,1.1805486291835063,0.572687790836784,0.6078608383467223,0.5396241499863593,0.0038726713887651315
word_cantillation_icf,2392,331,0.8784428938670584,0.8978441372083541,1.2435320131130312,0.022959773498762926,1.2205722396142682,0.5308290980003839,0.004511061695474659
word_cantillation_icf_position_mean,2392,331,0.8784428938670584,0.8978399748123984,1.3362042752080954,0.0601937498083641,1.2760105253997314,0.5308253089351211,0.00451534956625403
word_cantillation_count,2392,331,0.8784428938670584,0.897595265923986,0.7351281679041036,0.09729372563147541,0.6378344422726282,0.530886565490204,0.0044462688785517025
word_cantillation_icf_spacing2,1426,189,0.8829721362229103,0.8975541965041142,0.2831925662995106,0.11871411626329785,0.16447845003621275,0.550976943683816,0.010776516048061277
word_vocalized_icf_position4,2392,331,0.8784428938670584,0.897490252538956,1.1220412750463014,0.2963654745478887,0.8256758004984126,0.539481428528125,0.0012060089204017441
word_cantillation_tf_icf,2392,331,0.8784428938670584,0.8974361046834529,1.2302448071559284,0.029279034700431875,1.2009657724554965,0.5303819882993664,0.005036064268263617
word_vocalized_icf_position8,2392,331,0.8784428938670584,0.8966664247166239,1.0021580111502342,0.1940600704832464,0.8080979406669878,0.5389945336418475,0.0007647322159905545
word_cantillation_icf_position2,2392,331,0.8784428938670584,0.8966373455602044,1.3239941824271473,0.088489617704351,1.2355045647227962,0.5266927017550951,0.010672651551772185
word_cantillation_icf_position4,2392,331,0.8784428938670584,0.8960171271248648,1.3413645924185658,0.10552508256046395,1.2358395098581019,0.5281565439683134,0.006516142435253402
word_cantillation_icf_position8,2392,331,0.8784428938670584,0.8941102209314427,1.2021527995419052,0.08291080349452933,1.1192419960473758,0.5257953247986743,0.00783284697071631
lexeme_icf_position4_psalm,2392,331,0.8784428938670584,0.8934922284578497,8.237038022171866,8.237038022171866,0.0,0.5587665076943286,5.1020430304564756e-05
lexeme_icf_spacing2_psalm,2392,331,0.8784428938670584,0.8934019602951118,0.6246144062689912,0.6246144062689912,0.0,0.5536253776435045,0.00020753076500316806
word_consonantal_log_count_psalm,2392,331,0.8784428938670584,0.8903123542531458,7.727077040902305,7.727077040902305,0.0,0.5473904707534683,0.0007625495086929042
homograph_icf_spacing2,2254,314,0.8777258566978193,0.8901874132483535,0.18860746133859452,0.12974181774519244,0.05886564359340207,0.5344285318669146,0.023869321452660575
homograph_icf_psalm,2392,331,0.8784428938670584,0.8901778470113264,8.81383668233843,8.81383668233843,0.0,0.5393570208853278,0.004782348041478444
lexeme_icf_spacing2,2237,313,0.8772549019607843,0.8896907467164288,0.19907023666000476,0.1494416603942481,0.049628576265756646,0.5334442094258485,0.027457207021719488
lexeme_icf_spacing4_psalm,2392,331,0.8784428938670584,0.8889184377903351,1.0504685652001655,1.0504685652001655,0.0,0.5462569087289959,0.0005875200656541371
word_vocalized_icf_position2_psalm,2392,331,0.8784428938670584,0.8882200221214819,9.13946079116959,9.13946079116959,0.0,0.5416494053693581,0.002420171465988264
word_cantillation_log_count_psalm,2392,331,0.8784428938670584,0.8866416758273357,8.694060572151654,8.694060572151654,0.0,0.5375054309935434,0.009018310586932452
word_cantillation_icf_position2_psalm,2392,331,0.8784428938670584,0.8865671243709994,9.731565848857294,9.731565848857294,0.0,0.5288461538461539,0.026658613875512403
word_vocalized_icf_spacing8_psalm,2392,331,0.8784428938670584,0.8862959791728247,1.5406498424220136,1.5406498424220136,0.0,0.5304356667239236,0.024636957739521213
