model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
phrase_typ_1_2_3gram_psalm,1110,2784,0.2850539291217257,0.31747039427073337,1.918223406274087,1.918223406274087,0.0,0.5691818434814124,1.5151838430621743e-13
clause_mother_edge_distance,1039,2673,0.27990301724137934,0.31634801241182,-0.1642156557203476,-0.23022200077523575,0.06600634505488814,0.5187804685719347,0.025386251413937456
phrase_complexity_core_psalm,1110,2784,0.2850539291217257,0.3078666899595528,0.424574301472847,0.424574301472847,0.0,0.5388772393082738,3.183443194729629e-05
clause_kind_inventory,1037,2663,0.2802702702702703,0.3069905989242996,0.255540452749391,0.10379702297274213,0.1517434297766489,0.5511993166109669,7.116957882278766e-08
phrase_subphrase_rela_1gram_psalm,1109,2775,0.28553038105046347,0.3065320952079667,0.8470388708093397,0.8470388708093397,0.0,0.5394302147052372,2.4945554907962478e-05
phrase_complexity_core,1104,2772,0.2848297213622291,0.3056091697918004,0.01750044540366752,0.06828859495958263,-0.05078814955591511,0.5160733238178891,0.058838951224110314
phrase_typ_1gram_psalm,1110,2784,0.2850539291217257,0.30393142571951204,1.2806567500042436,1.2806567500042436,0.0,0.5227856088847468,0.0051824955407679
clause_typ_1_2gram_psalm,1110,2784,0.2850539291217257,0.3026478283308442,3.728880615201502,3.728880615201502,0.0,0.5364245171896034,6.107056884394682e-05
phrase_function_1_2gram_psalm,1110,2784,0.2850539291217257,0.3004892709692481,1.8334977700409525,1.8334977700409525,0.0,0.5343552604328466,0.00021077016387302904
clause_typ_1gram_psalm,1110,2784,0.2850539291217257,0.3001504128412989,2.221800330892656,2.221800330892656,0.0,0.5328081314072693,0.00031329316066242956
phrase_marginal_typ_function_psalm,1110,2784,0.2850539291217257,0.2982318982663812,1.517841573355538,1.517841573355538,0.0,0.532347972972973,0.0005559769674595726
clause_signature_1_2gram,1028,2644,0.27995642701525053,0.2974461648485437,0.7546933032028167,0.4774212583751913,0.2772720448276254,0.5259454266910765,0.000289654736630947
clause_signature_1_2_3gram,1028,2644,0.27995642701525053,0.29730999142623826,0.7563936807971284,0.4790829469378116,0.2773107338593168,0.5258230955338274,0.00030751872042732083
phrase_det_1gram_psalm,1110,2784,0.2850539291217257,0.2964795894786144,0.985665046139007,0.985665046139007,0.0,0.5249733030444237,0.004459208149114808
phrase_signature_posmean,1110,2784,0.2850539291217257,0.29618823631433583,3.22081492089209,3.22081492089209,0.0,0.5301445842394118,0.0008477510893327439
clause_signature_inventory,1028,2644,0.27995642701525053,0.2959013465056844,0.6782525022367512,0.46410458515824726,0.2141479170785039,0.5249018407435968,0.0004769642635316191
clause_marginal_typ_rela_psalm,1110,2784,0.2850539291217257,0.29460532591485167,1.5808696707800103,1.5808696707800103,0.0,0.5111839209899555,0.1069853829361831
clause_typ_1gram,1039,2673,0.27990301724137934,0.28906713708511056,0.5523014719142912,0.42111518432759526,0.13118628758669598,0.5195101479990797,0.006914551482266431
clause_signature_inventory_psalm,1110,2784,0.2850539291217257,0.2889924344074337,2.6326615267588593,2.6326615267588593,0.0,0.5022867155949052,0.40785998691210495
clause_typ_1_2gram,1039,2673,0.27990301724137934,0.28882159800078894,0.5942174316510479,0.4415210047055181,0.15269642694552982,0.5200214456978439,0.005778891908962485
clause_typ_1_2_3gram,1039,2673,0.27990301724137934,0.2887927320387102,0.5924824208480478,0.44391403379009486,0.14856838705795294,0.5199812980264269,0.005862892615508969
clause_mother_edge_distance_psalm,1110,2784,0.2850539291217257,0.2885542872436801,0.973991394162852,0.973991394162852,0.0,0.5115788741327535,0.12007259915137314
clause_tab_inventory,1039,2673,0.27990301724137934,0.2880276798234786,0.14606876154695106,0.12521598729642058,0.020852774250530476,0.5006194983737493,0.4687428828082032
phrase_rela_1gram_psalm,1110,2784,0.2850539291217257,0.2869832714827953,0.4405999535137571,0.4405999535137571,0.0,0.505152027027027,0.2815094225483577
phrase_full_signature_inventory_psalm,1110,2784,0.2850539291217257,0.2864594598768696,1.5745131504217036,1.5745131504217036,0.0,0.49439040333436884,0.7177478359598857
phrase_function_1_2_3gram_psalm,1110,2784,0.2850539291217257,0.2863910775331467,2.2728506150475902,2.2728506150475902,0.0,0.5001757145076111,0.4924409951522489
clause_marginal_typ_rela,1028,2644,0.27995642701525053,0.2858951665051946,0.2194640780766454,0.240693207579138,-0.021229129502492616,0.4877823366317983,0.8804431862807505
phrase_rela_1gram,1104,2772,0.2848297213622291,0.28531410184354905,0.06837425800492246,0.03344332992526968,0.03493092807965278,0.5017483648597779,0.3848877857095168
clause_rela_1gram_psalm,1110,2784,0.2850539291217257,0.28521014740691947,0.7219302169238914,0.7219302169238914,0.0,0.49555341979910944,0.6810301015553474
phrase_typ_1_2gram_psalm,1110,2784,0.2850539291217257,0.28502659778539224,1.6218913613630668,1.6218913613630668,0.0,0.49277790721756237,0.7796914508965211
clause_tree_summary_psalm,1110,2784,0.2850539291217257,0.284035659654985,0.6260604003265858,0.6260604003265858,0.0,0.488584867194781,0.8807688012475681
phrase_function_1gram_psalm,1110,2784,0.2850539291217257,0.2831688198235059,1.4287609489972959,1.4287609489972959,0.0,0.49477839908874394,0.7000594430133901
phrase_signature_1_2_3gram_psalm,1110,2784,0.2850539291217257,0.28196006452457667,2.255120913173277,2.255120913173277,0.0,0.48617372760691724,0.9421050186357861
phrase_signature_inventory_psalm,1110,2784,0.2850539291217257,0.2808122770612481,1.5068645876965288,1.5068645876965288,0.0,0.47467526794035414,0.9961891118308032
clause_signature_1_2gram_psalm,1110,2784,0.2850539291217257,0.2792937576009757,4.372930792587534,4.372930792587534,0.0,0.47820007507507506,0.9869329784263613
phrase_signature_1_2gram_psalm,1110,2784,0.2850539291217257,0.2754096494070534,1.853190707695333,1.853190707695333,0.0,0.47880180827379104,0.9875234158569979
clause_typ_1_2_3gram_psalm,1110,2784,0.2850539291217257,0.27473653659490466,5.335164899632044,5.335164899632044,0.0,0.47806432510096303,0.9899588193868777
clause_tab_inventory_psalm,1110,2784,0.2850539291217257,0.2712184078336964,1.2993524126283744,1.2993524126283744,0.0,0.4690056435746091,0.9993536736647336
clause_rela_1gram,1028,2644,0.27995642701525053,0.27117945759739115,-0.003804273723135049,0.06584376097962766,-0.0696480347027627,0.48051071510563526,0.9841291393375542
clause_kind_inventory_psalm,1110,2784,0.2850539291217257,0.269008253024502,0.6881792494184008,0.6881792494184008,0.0,0.46140849901625763,0.9999776939211159
clause_tab_transition_psalm,1110,2784,0.2850539291217257,0.25963216653493243,1.2489754382572267,1.2489754382572267,0.0,0.44258811613337473,0.9999999973747553
clause_signature_1_2_3gram_psalm,1110,2784,0.2850539291217257,0.25856628746270127,5.972239265276768,5.972239265276768,0.0,0.43762086439888165,0.9999999999134548
