model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
word_consonantal_icf_position2,1110,2784,0.2850539291217257,0.3414304987136474,1.7811760161920462,0.9168313042603232,0.864344711931723,0.5624247789382935,1.9209980828271966e-12
word_consonantal_icf_position8,1110,2784,0.2850539291217257,0.34137670234844897,2.5707671628237905,1.2797041767239594,1.291062986099831,0.5547664761543274,4.397007757894755e-11
word_consonantal_icf_position4,1110,2784,0.2850539291217257,0.34111823282475484,2.2471339848801763,1.188745372080601,1.0583886127995754,0.5624644160270691,7.201182467171663e-13
lexeme_tf_icf,1110,2784,0.2850539291217257,0.3374583446364671,1.0223121493895317,0.506204168699388,0.5161079806901437,0.5617097616195679,1.6450641196485982e-11
lexeme_icf,1110,2784,0.2850539291217257,0.3371031595935535,1.0204719164222014,0.5084238814459444,0.512048034976257,0.562497079372406,9.237741648016051e-12
lexeme_icf_position_mean,1110,2784,0.2850539291217257,0.337026602403088,1.3405615907833828,0.7291358888365349,0.6114257019468479,0.5624791383743286,9.360867983532195e-12
word_cantillation_binary,1110,2784,0.2850539291217257,0.3370098391880242,0.8268517203443114,0.27776644525231897,0.5490852750919925,0.5358130931854248,6.111422479193607e-09
word_cantillation_log_count,1110,2784,0.2850539291217257,0.33697521002540304,0.8174851378555689,0.2778077467643308,0.539677391091238,0.5357434749603271,6.521718720620129e-09
lexeme_icf_position2,1110,2784,0.2850539291217257,0.336358847452234,1.5717672571578871,0.9133850024449391,0.658382254712948,0.5618186593055725,1.1006870762053644e-11
lexeme_icf_position8,1110,2784,0.2850539291217257,0.33623628696767194,2.4987387880998613,1.4519901977913454,1.0467485903085159,0.5539681315422058,3.0147231933064234e-10
word_cantillation_count,1110,2784,0.2850539291217257,0.33599437189857806,0.8099874692122698,0.2768708826668775,0.5331165865453924,0.5355728268623352,7.641973276406588e-09
homograph_tf_icf,1110,2784,0.2850539291217257,0.3359715037036566,0.9666016719104384,0.4860604416109827,0.4805412302994557,0.5598893761634827,6.874333741135885e-11
lexeme_icf_position4,1110,2784,0.2850539291217257,0.3357916155276368,2.0925396994417214,1.2580643096344548,0.8344753898072665,0.562220573425293,3.7534966454422225e-12
homograph_icf_position8,1110,2784,0.2850539291217257,0.3351525775634623,2.438780488074553,1.4451341542333735,0.9936463338411796,0.5534966588020325,4.826772315169592e-10
homograph_icf_position_mean,1110,2784,0.2850539291217257,0.3349094000240161,1.2727080871246217,0.7094049119127188,0.5633031752119027,0.5605255365371704,4.3828843332427425e-11
homograph_icf,1110,2784,0.2850539291217257,0.3348950694850952,0.9606039298232092,0.4891774023838903,0.4714265274393189,0.5605443120002747,4.324766239571787e-11
homograph_icf_position4,1110,2784,0.2850539291217257,0.3348013805542017,2.0246693541644856,1.2404366766676655,0.78423267749682,0.5613086819648743,8.634724879552635e-12
word_vocalized_log_count,1110,2784,0.2850539291217257,0.33469415845481465,0.8652470716946892,0.39469575945865526,0.4705513122360339,0.5405676960945129,2.128475173890365e-08
word_vocalized_binary,1110,2784,0.2850539291217257,0.3345767109409651,0.8671665792154434,0.3936038762279953,0.47356270298744807,0.5405646562576294,2.132689758127526e-08
homograph_icf_position2,1110,2784,0.2850539291217257,0.3344366096333294,1.501064278941731,0.8939364732678634,0.6071278056738676,0.5601652264595032,4.1783593945909914e-11
word_vocalized_count,1110,2784,0.2850539291217257,0.3340622341016998,0.8611778691461933,0.39393754223438976,0.46724032691180356,0.5403874516487122,2.4416811683636297e-08
word_cantillation_tf_icf,1110,2784,0.2850539291217257,0.3334905721866414,1.2411707082995291,0.24380000151122208,0.9973707067883071,0.5353004932403564,9.835038561334386e-09
word_cantillation_icf_position2,1110,2784,0.2850539291217257,0.3331260033936341,1.738581548744299,0.4182689682834629,1.3203125804608362,0.5356027483940125,5.357613908074654e-09
word_cantillation_icf,1110,2784,0.2850539291217257,0.3328263460964288,1.2400634668894408,0.2400049735809151,1.0000584933085257,0.535236120223999,1.0434699326822283e-08
