model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
word_vocalized_tf_icf,1110,0.044299656524686794,0.0,0.12039934556100233,0.007215647026896477,0.028525052592158318,3416,1.3000505214838727,48,0.037743539024886565,1.0702133466489159,26,0.13109028842540116,4.342661279879935,27,0.10738519725405649,3.5116341995701394,495,0.040452246700472226,1.1651722487169984,514,0.04091307184349043,1.1813273510267794
word_vocalized_icf,1110,0.043654761137269765,0.0,0.11961033890562209,0.007099389564245939,0.02825411595404148,3416,1.2938069494895992,48,0.036655761480990125,1.0460908408821203,26,0.1310902877588992,4.388418961553725,27,0.10510989638852992,3.4688930626500287,495,0.03999730033145391,1.1643581707075936,514,0.0401796302781917,1.1708113878967057
homograph_icf_position_mean,1110,0.0808904646893885,0.030485269163568,0.1439393874197976,0.0203115921467542,0.0475984066724777,3416,1.2727079912458932,48,0.0970993181264028,1.6132415210454647,26,0.1408514143532826,2.5324339748588,27,0.182615178026684,3.409853338090342,495,0.078308257552781,1.2184581262372691,514,0.0734869931257227,1.1171676679193436
word_cantillation_tf_icf,1110,0.02858208797217931,0.0,0.1091919194039926,0.0037994030863046646,0.019967185333371162,3416,1.2411706743892108,48,0.028682756746468918,1.2462123852066769,26,0.13145589836674454,6.393314488201176,27,0.013680900335402257,0.4948868397882121,495,0.02433037954496768,1.0282358838203194,514,0.02824624471583327,1.2243509148317762
word_cantillation_icf,1110,0.028223652604748004,0.0,0.1089924575007779,0.00372119527310133,0.019759034737944603,3416,1.2400634776248942,48,0.02779899461807324,1.2185716389644121,26,0.13145589780370157,6.464622600480716,27,0.013680900481768532,0.5040582872978563,495,0.02394057768715065,1.0232980852663152,514,0.02793011486101013,1.2252076029513115
word_consonantal_tf_icf,1110,0.06355577207896862,0.0,0.13180753043835117,0.015534295700490475,0.03875306248664856,3416,1.2391659728833766,48,0.06525497141437314,1.2830128130134937,26,0.14935751831044713,3.4532296036232557,27,0.16883336212775943,3.95579230622314,495,0.059968121237120996,1.146588751584191,514,0.05698181345110743,1.0695288343959062
word_consonantal_icf,1110,0.06169602927771255,0.0,0.12909643860470987,0.014876846224069595,0.03780781850218773,3416,1.238346588310399,48,0.06390296869368235,1.2967191552396997,26,0.14567252503508807,3.4594875872949413,27,0.1554430296635228,3.717913093328022,495,0.058903904001430786,1.1644961153951157,514,0.0550065565533629,1.0614130071263228
word_consonantal_icf_spacing8_psalm,1110,1.0,1.0,1.0511393169274963e-16,0.8656185269355774,0.11936797201633453,3416,1.1257749528159329,48,1.0,1.1257749528159329,26,1.0,1.1257749528159329,27,1.0,1.1257749528159329,495,1.0,1.1257749528159329,514,1.0,1.1257749528159329
lexeme_icf_spacing8_psalm,1110,1.0,1.0,1.1057129598414232e-16,0.8855372071266174,0.1026770919561386,3416,1.114784132397113,48,1.0,1.114784132397113,26,1.0,1.114784132397113,27,1.0,1.114784132397113,495,1.0,1.114784132397113,514,1.0,1.114784132397113
homograph_icf_spacing8_psalm,1110,1.0,1.0,1.1601123505945725e-16,0.8886229991912842,0.1022484824061393,3416,1.0892777886552607,48,1.0,1.0892777886552607,26,1.0,1.0892777886552607,27,1.0,1.0892777886552607,495,1.0,1.0892777886552607,514,1.0,1.0892777886552607
word_cantillation_icf_spacing4_psalm,1110,1.0,1.0,1.1196846163965065e-16,0.8335575461387634,0.1530010998249054,3416,1.0878513556550473,48,1.0,1.0878513556550473,26,1.0,1.0878513556550473,27,1.0,1.0878513556550473,495,1.0,1.0878513556550473,514,1.0,1.0878513556550473
lexeme_tf_icf,1110,0.0810509985375747,0.0281695878453398,0.1454362908131242,0.0249693356454372,0.0548576712608337,3416,1.022312132527173,48,0.0971855204054421,1.3164281877120894,26,0.1454677665825039,2.196564822522787,27,0.181520836411936,2.85377591079537,495,0.0776794395685166,0.9608520141596376,514,0.0742551678921472,0.8984309963208039
lexeme_icf,1110,0.0788569867270832,0.0262859255949019,0.1428992803431559,0.0239974465221166,0.0537589862942695,3416,1.0204719989449345,48,0.0982369153355033,1.3809685399759892,26,0.1417084160745959,2.1896054532751985,27,0.169642793206086,2.709227921202347,495,0.0762175662479597,0.9713747100809724,514,0.0716408828866038,0.8862413458411093
word_vocalized_icf_spacing4_psalm,1110,1.0,1.0,1.2610149906704154e-16,0.8899396061897278,0.10964922606945038,3416,1.0037498462648649,48,1.0,1.0037498462648649,26,1.0,1.0037498462648649,27,1.0,1.0037498462648649,495,1.0,1.0037498462648649,514,1.0,1.0037498462648649
homograph_tf_icf,1110,0.0835609907831645,0.0325866914472184,0.1475194899638152,0.0271741729229688,0.0583351105451583,3416,0.9666017143576942,48,0.0960513669902347,1.180715926027888,26,0.14531764200935,2.025254910504094,27,0.196183724395195,2.897218328598049,495,0.0801450694141335,0.9080448463393036,514,0.0766443687604512,0.8480346634328655
homograph_icf,1110,0.0811652783795579,0.0304919548566756,0.1444929572876306,0.0261915065348148,0.0572283416986465,3416,0.960603963228997,48,0.0973231416739634,1.2429441956175158,26,0.141388998813773,2.012944790285311,27,0.1833042748652586,2.7453664332573093,495,0.0785478979118121,0.914868224780931,514,0.0737653878289728,0.8312993157249406
lexeme_icf_spacing4_psalm,1110,1.0,1.0,9.536536850639484e-17,0.9423790574073792,0.0624918863177299,3416,0.9220547816344736,48,1.0,0.9220547816344736,26,1.0,0.9220547816344736,27,1.0,0.9220547816344736,495,1.0,0.9220547816344736,514,1.0,0.9220547816344736
word_consonantal_icf_spacing4_psalm,1110,1.0,1.0,1.3787979232043465e-16,0.9357276558876038,0.07120642066001892,3416,0.9026200659526195,48,1.0,0.9026200659526195,26,1.0,0.9026200659526195,27,1.0,0.9026200659526195,495,1.0,0.9026200659526195,514,1.0,0.9026200659526195
homograph_icf_spacing4_psalm,1110,1.0,1.0,1.2526213837023326e-16,0.9468584060668944,0.0591304972767829,3416,0.8987171828499233,48,1.0,0.8987171828499233,26,1.0,0.8987171828499233,27,1.0,0.8987171828499233,495,1.0,0.8987171828499233,514,1.0,0.8987171828499233
word_vocalized_binary,1110,0.0766874794708704,0.0,0.1498682039703435,0.0205510146915912,0.064735509455204,3416,0.8671664941190392,48,0.0689928016567227,0.748303170436196,26,0.134016373366843,1.7527530041880348,27,0.1205694836392075,1.5450325453424834,495,0.0819853838400982,0.949005725999864,514,0.0670989902071952,0.7190485702103651
