model,metric,source,genre,gap,p_perm,p_maxT,perm_q,perm_q_by,maxT_q,maxT_q_by
morph_atomic_core,content_distance,length_controlled,Trust,0.003028288297191656,0.15028497150284972,0.38676132386761325,0.39399033069666006,1.0,1.0,1.0
morph_atomic_core,content_distance,length_controlled,Wisdom,0.0012779040220029624,0.32826717328267174,0.9232076792320768,0.5054272350542723,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Hymn,-0.006697143364056191,0.9464053594640536,1.0,0.9995000499950005,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Lament,0.0031698383474333403,0.11408859114088592,0.9069093090690931,0.38160666691951495,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Praise,0.006490259176194613,0.0115988401159884,0.5124487551244875,0.04018169611610267,0.20721991706648554,1.0,1.0
morph_atomic_core,structural_distance,raw,Royal,0.0028657063219065804,0.30226977302269775,0.929007099290071,0.906149628939545,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Thanksgiving,0.004526891135176292,0.22657734226577342,0.7585241475852414,0.6084175366247159,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Trust,0.014004276772329294,0.0331966803319668,0.06629337066293371,0.35778644357786443,1.0,0.6533619365336193,1.0
morph_atomic_core,structural_distance,raw,Wisdom,0.0011392995139552498,0.4246575342465753,0.9956004399560044,0.9509221120898662,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Hymn,-0.009814001714164343,0.9916008399160084,1.0,0.9996000399960004,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Lament,0.0017854937270076945,0.23587641235876414,0.9823017698230176,0.8171432856714329,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Praise,0.005931979566555666,0.014898510148985102,0.5452454754524547,0.047869406607726324,0.24686599686118582,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Royal,0.003947483443186727,0.21927807219278073,0.8003199680031997,0.8833301854999686,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Thanksgiving,0.004263077130281482,0.22927707229277072,0.7595240475952405,0.5949589251601156,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Trust,0.012127338037087532,0.0438956104389561,0.09219078092190781,0.3548228510482285,1.0,0.7452088124520883,1.0
morph_atomic_core,structural_distance,length_controlled,Wisdom,0.007502292761546475,0.08539146085391461,0.36636336366363365,0.4533020382172309,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Hymn,-0.01046024531834415,0.996000399960004,1.0,1.0,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Lament,7.738022534022092e-05,0.48035196480351966,0.9998000199980002,0.9982928790454288,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Praise,0.0051041507318561686,0.0292970702929707,0.6436356364363564,0.1177261584186409,0.6071223253886094,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Royal,0.002962421914653574,0.2822717728227177,0.9018098190180982,0.9118190453681904,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Thanksgiving,0.002451039177108129,0.33456654334566543,0.9472052794720528,0.7746167690923216,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Trust,0.011109622222933288,0.05629437056294371,0.1284871512848715,0.4442155784421558,1.0,0.9587118211255797,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Wisdom,0.007072827993159094,0.09759024097590241,0.4106589341065893,0.5275428978841246,1.0,1.0,1.0
morph_atomic_core,adjacent_similarity_distance,raw,Hymn,-0.006742582594045948,0.9986001399860014,1.0,1.0,1.0,1.0,1.0
morph_atomic_core,adjacent_similarity_distance,raw,Lament,0.0020517781320903497,0.061493850614938506,0.8225177482251775,0.16569176415691766,0.854484428133353,1.0,1.0
morph_atomic_core,adjacent_similarity_distance,raw,Praise,0.005381821173754957,0.00019998000199980003,0.16368363163683633,0.002771151456282943,0.014291028763205902,1.0,1.0
morph_atomic_core,adjacent_similarity_distance,raw,Royal,0.0012470625856523879,0.33766623337666235,0.9599040095990401,0.7280598027153806,1.0,1.0,1.0
morph_atomic_core,adjacent_similarity_distance,raw,Thanksgiving,0.0063367324733982835,0.0201979802019798,0.08759124087591241,0.1665000166650002,0.8586526448559547,0.7319037327036527,1.0
morph_atomic_core,adjacent_similarity_distance,raw,Trust,0.0035662805268625586,0.1700829917008299,0.46195380461953806,0.7173065302165436,1.0,1.0,1.0
