model,metric,n_pairs_total,n_pairs_valid,raw_gap,raw_p,raw_effect_size,length_controlled_gap,length_controlled_p,length_controlled_effect_size,length_and_content_controlled_gap,length_and_content_controlled_p,length_and_content_controlled_effect_size,raw_q,raw_q_by,length_controlled_q,length_controlled_q_by,length_and_content_controlled_q,length_and_content_controlled_q_by
morph_gn_atomic_psalm,step_magnitude_distance,11026,11026,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
morph_gn_atomic_psalm,turning_angle_distance,11026,0,,,,,,,,,,,,,,,
morph_atomic_core_psalm,content_distance,11026,11026,0.0034019420522986826,9.999000099990002e-05,4.778125502038275,0.00348307798877615,9.999000099990002e-05,4.901691352375434,,,,0.00014169706024050002,0.0008726882609173813,0.00012099246696334935,0.0007451721679979465,,
morph_atomic_core_psalm,structural_distance,11026,11026,-3.2202547589877965e-09,0.7117288271172882,-0.5815762257951718,-4.0734027213562455e-09,0.7657234276572342,-0.734888938694792,-4.624531968813692e-09,0.7945205479452054,-0.8333920666619177,0.8226851227920686,1.0,0.9372526050147278,1.0,0.8664524494052652,1.0
morph_atomic_core_psalm,adjacent_similarity_distance,11026,11026,-6.685442533538191e-10,0.5497450254974503,-0.18552657536298248,-1.2075161216038359e-09,0.6200379962003799,-0.3552316200291778,-2.2116931354581603e-09,0.7379262073792621,-0.6730990308423807,0.743277713045022,1.0,0.8054415146720622,1.0,0.876907824912576,1.0
morph_atomic_core_psalm,step_magnitude_distance,11026,11026,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
morph_atomic_core_psalm,turning_angle_distance,11026,0,,,,,,,,,,,,,,,
morph_gn_sp_plus,content_distance,11026,11026,0.007800694115447315,9.999000099990002e-05,4.315049036649552,0.00789148234905837,9.999000099990002e-05,4.367950549099025,,,,0.00014169706024050002,0.0008726882609173813,0.00012099246696334935,0.0007451721679979465,,
morph_gn_sp_plus,structural_distance,11026,11026,0.008285913564239328,0.00039996000399960006,3.470126810047504,0.005092655161005124,0.007799220077992201,2.3966467027293357,0.003313966570966336,0.055894410558944105,1.5862613601231466,0.0011040562610405626,0.006799696032981262,0.02130714763575189,0.13122712344062806,0.5767795313491907,1.0
morph_gn_sp_plus,adjacent_similarity_distance,11026,11026,0.0055097399430894395,0.00019998000199980003,3.542915306172739,0.0043080935316676125,0.0017998200179982,2.855954130221036,0.003146407560941843,0.016198380161983803,2.135825254750956,0.0011040562610405626,0.006799696032981262,0.007692779109185856,0.04737852719754685,0.1912417453906783,1.0
morph_gn_sp_plus,step_magnitude_distance,11026,11026,0.006590875260483187,0.00039996000399960006,3.364235993914923,0.005306031800940721,0.0021997800219978004,2.757365153642448,0.0035825080815964664,0.028097190280971903,1.928166501034304,0.0027176769502536926,0.016737713311953874,0.012672645778900373,0.07804868490030666,0.33844342838443425,1.0
morph_gn_sp_plus,turning_angle_distance,11026,6328,0.006230023073104357,0.09479052094790522,1.3704787933791167,0.003917373743533309,0.19978002199780023,0.8792226061863382,0.0009186678792912112,0.41235876412358763,0.20634324055087747,0.21201997447314094,1.0,0.3745028722934158,1.0,0.8636217186362172,1.0
morph_full_all,content_distance,11026,11026,0.0033423921033501943,9.999000099990002e-05,4.986772917885608,0.0032493287422039434,9.999000099990002e-05,4.850840004329293,,,,0.00014169706024050002,0.0008726882609173813,0.00012099246696334935,0.0007451721679979465,,
morph_full_all,structural_distance,11026,11026,0.004245911686798734,0.004899510048995101,2.6634877739854024,0.002483620799500545,0.047995200479952004,1.694800676800369,0.001251780519326097,0.19358064193580643,0.8680285693313216,0.012983701629837016,0.07996442534785964,0.12113074406845029,0.7460237933328012,0.5767795313491907,1.0
morph_full_all,adjacent_similarity_distance,11026,11026,0.003019678885449767,0.00019998000199980003,3.7313278663078053,0.002474573892427589,0.0008999100089991,3.1398992471898524,0.0017897956402888088,0.010998900109989001,2.3239887386517886,0.0011040562610405626,0.006799696032981262,0.004586079853553106,0.02824489121392216,0.17517692675176927,1.0
morph_full_all,step_magnitude_distance,11026,11026,0.0059056524386048165,0.00019998000199980003,4.416485957693697,0.00513794599369094,0.00019998000199980003,3.897391637087405,0.0036205775018826767,0.0020997900209979003,2.885946143752393,0.0016059000160590004,0.009890466957063653,0.0031173353252910005,0.019199141740182387,0.1211307440684503,0.7460237933328012
morph_full_all,turning_angle_distance,11026,9870,0.005683043533342563,0.0524947505249475,1.6703914077604969,0.0042640239465982915,0.11648835116488351,1.2570014784176549,0.0017131928058842798,0.30696930306969306,0.5251279472453307,0.16759990667599906,0.8897915475285878,0.3557617211251848,1.0,0.8636217186362172,1.0
morph_atomic_core,content_distance,11026,11026,0.0037244595207655516,9.999000099990002e-05,4.678748006792268,0.003835232538768262,9.999000099990002e-05,4.830894581063372,,,,0.00014169706024050002,0.0008726882609173813,0.00012099246696334935,0.0007451721679979465,,
morph_atomic_core,structural_distance,11026,11026,0.004693318026506521,0.006999300069993001,2.512721334514329,0.003081524370994837,0.0471952804719528,1.7287388508131007,0.0017924499195669259,0.1573842615738426,1.0188878480737942,0.018007907947069374,0.11090766345056814,0.12025720504872588,0.7406438140539588,0.5767795313491907,1.0
