model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
qwen3_embedding_8b_vocalized,2392,0.5576748313396663,0.5415405547451109,0.1128129207153378,0.4536578357219696,0.07744502276182175,818,1.3431075607995588,79,0.5612814499754557,1.3896776114906324,62,0.5329509227514881,1.0238629185167964,38,0.6882224740073302,3.0287890676558034,1118,0.5712381514155037,1.5182423802126888,1095,0.540435888137915,1.1205116781077966
openai_text_embedding_3_large_cantillation,2392,0.42895889169361234,0.40553899894021095,0.13165994424245264,0.32298552989959717,0.07898492366075516,818,1.3416910073772677,79,0.3996374736253271,0.9704629715786582,62,0.41201229421734464,1.1271361696837565,38,0.6135723452079592,3.679016220316289,1118,0.44053365056629346,1.4882349088741582,1095,0.4138092929883342,1.1498873313954239
bge_multilingual_gemma2_vocalized,2392,0.6156217780906279,0.5994112702959239,0.10488333168151663,0.5215337872505188,0.0717947706580162,818,1.3105131470965117,79,0.6052104652939709,1.165498228861732,62,0.5825176727147982,0.8494196012515604,38,0.7864834886634943,3.6903760397121994,1118,0.6289614856476075,1.4963164783798062,1095,0.598697951783564,1.0747880914698553
openai_text_embedding_3_large_vocalized,2392,0.4237466533708425,0.39862925084749157,0.13396299621650634,0.32380759716033936,0.07957135885953903,818,1.255967695448278,79,0.400368999760134,0.9621728684430586,62,0.4040905344536377,1.0089426452426857,38,0.6238423951227346,3.770638107261971,1118,0.43554790324223785,1.4042779673920707,1095,0.4075531177227336,1.0524580924930984
harrier_oss_v1_27b_consonantal,2392,0.8197957136106018,0.8155920157317951,0.05258969169285376,0.7661490440368652,0.044792089611291885,818,1.1976817790660172,79,0.8045702022387611,0.8577665952920858,62,0.8177067770297801,1.1510454957635512,38,0.8909351951663995,2.7858970682643984,1118,0.8265570876277283,1.3486319596850076,1095,0.8116402917075138,1.0156089627749911
kalm_embedding_gemma3_12b_2511_consonantal,2392,0.8137468622591825,0.8099581357813466,0.05429179208763133,0.7529053092002869,0.05168354511260986,818,1.177193881076307,79,0.7989883287311884,0.8916381302887466,62,0.8196563902117291,1.2915344887043392,38,0.8781796149785124,2.423872153221564,1118,0.8212630682463691,1.322621327487153,1095,0.804566926659771,0.9995757324100365
llama_embed_nemotron_8b_vocalized,2392,0.8549729161822525,0.8481670224031035,0.043375721516396494,0.8184733390808105,0.031823500990867615,818,1.1469378278623774,79,0.8504304679486728,1.0041990313081208,62,0.8523170604857341,1.0634820290399747,38,0.9227446399938427,3.2765502746839474,1118,0.8587344534742303,1.26513781136065,1095,0.849258571220029,0.9673741474281192
llama_embed_nemotron_8b_cantillation,2392,0.861818722483814,0.8546641091663865,0.03943711230995416,0.8263508677482605,0.031056800857186317,818,1.1420318177217041,79,0.8581005594565637,1.0223104386798607,62,0.8607810428890599,1.1086195033134743,38,0.923522577241059,3.128838348149233,1118,0.8649892101481527,1.2441185612635803,1095,0.8567673246066647,0.9793815209194694
berel_consonantal,2392,0.7001109653512192,0.691496165134236,0.07775848945768726,0.6257081031799316,0.06550959497690201,818,1.1357551851377072,79,0.6942448154021947,1.0462087614253823,62,0.690391225209101,0.9873839405048368,38,0.7965834851564589,2.608402357498564,1118,0.7071413997803916,1.2430743409293321,1095,0.6905585163013291,0.989937628896394
f2llm_v2_14b_consonantal,2392,0.3503679576463417,0.3216470768059869,0.16277651524848463,0.22941339015960693,0.10856352001428604,818,1.1141363827445736,79,0.34071320089993395,1.0252045136863737,62,0.33258390628604495,0.9503239772702805,38,0.5595270753588274,3.0407422783986764,1118,0.3761500539297126,1.351620357840243,1095,0.31848933376453475,0.8204960892315041
me5_large_instruct_cantillation,2392,0.9326367389821193,0.9307936840190882,0.01759964521899368,0.9179434776306152,0.013897217810153961,818,1.0572807847027104,79,0.9316381634569538,0.9854264366737212,62,0.9340252369722302,1.1571927245656928,38,0.9529973959168481,2.5223694961894307,1118,0.9335300184127049,1.1215583575801333,1095,0.9310115419265816,0.9403367259897348
me5_large_instruct_vocalized,2392,0.9263119923485772,0.9237292937074094,0.019662484339262036,0.9099011421203613,0.015861863270401955,818,1.034610496160203,79,0.9244476483179151,0.9170742396132885,62,0.9263665250324508,1.0380484708132391,38,0.9492162181935192,2.478591285458836,1118,0.9278059504996404,1.128796035752575,1095,0.9241232218983724,0.8966210044534473
me5_large_instruct_consonantal,2392,0.9209847185080158,0.9188238153083679,0.021163535637513546,0.903313934803009,0.0174290481954813,818,1.0138696908066451,79,0.9158674410577933,0.7202634426152368,62,0.9210573550632557,1.018037248003415,38,0.9489575664128163,2.618825256426849,1118,0.9230459276385942,1.132132553325597,1095,0.9182745462922839,0.8583722600040535
llama_embed_nemotron_8b_consonantal,2392,0.8330093499612695,0.8262532437598955,0.048956076567534916,0.7983922958374023,0.034717824310064316,818,0.9970974510010431,79,0.8287474331377316,0.8743386978754201,62,0.8290199477891124,0.882188114041219,38,0.9093622384678308,3.196339195663811,1118,0.8373184562292664,1.1212154322867451,1095,0.8264934082195922,0.8094145569497457
openai_text_embedding_3_large_consonantal,2392,0.4230314649111364,0.39533945206834065,0.1314750793614035,0.3539286255836487,0.07321523129940033,818,0.9438314692321913,79,0.4259300476891429,0.9834213568356771,62,0.41314213626010393,0.8087594565441226,38,0.6281277723793552,3.7451107089236553,1118,0.42973834980439973,1.0354365188131553,1095,0.4094170296074296,0.757880608160223
qwen3_embedding_8b_consonantal,2392,0.5163664965694502,0.49478732051340407,0.12073567756867207,0.4383866488933563,0.09080332517623901,818,0.8587774459222038,79,0.5326242325610085,1.0378208450488757,62,0.500960473625921,0.6891138029484707,38,0.6617657504867565,2.4600321756923162,1118,0.5207974461270221,0.9075746628630138,1095,0.5064960299255623,0.7500758468923177
bge_multilingual_gemma2_consonantal,2392,0.573665519013528,0.5562105178651053,0.11225753440606687,0.5102840065956116,0.07401596754789352,818,0.8563221493646511,79,0.5757340615400639,0.8842693963583135,62,0.5362388720220862,0.3506657588402125,38,0.7597439591852502,3.3703531934270874,1118,0.5837097576218444,0.992025821708285,1095,0.5589226859206056,0.6571376547029715
gemini_embedding_2_consonantal,2392,0.7401442870554908,0.7391497212598845,0.08556263121855014,0.6940668225288391,0.05607030540704727,818,0.8217801596076276,79,0.747920702315418,0.9604705983964581,62,0.7146751925352682,0.36754517131342274,38,0.8494522235062394,2.7712601144111204,1118,0.750317868110045,1.003223456209958,1095,0.7268447271017007,0.5845858041062467
miqrabert_consonantal,2392,0.736955910722734,0.815890615708021,0.22481830204635944,0.48824217915534973,0.30760180950164795,818,0.8085574397963736,79,0.7306297293483786,0.787991301435209,62,0.7966310935709202,1.0025588435750679,38,0.8018132193788631,1.0194057074356495,1118,0.7511960622203355,0.854851548145971,1095,0.7172434357352773,0.7444730476421358
neodictabert_consonantal,2392,0.2652410892839185,0.22971515827537228,0.17882208706078456,0.18046385049819946,0.10677140951156616,818,0.794006927262072,79,0.26664189340063765,0.8071265828246169,62,0.21586079722880408,0.33152083401849436,38,0.5577987210240589,3.534044106488864,1118,0.27882222508479004,0.9212051712770146,1095,0.24391690184163228,0.5942887860495949
bge_m3_consonantal,2392,0.5196458583253984,0.49756376933845337,0.1216152242805832,0.45643630623817444,0.08061882108449936,818,0.7840545326378799,79,0.5104421982523244,0.6698918600849363,62,0.5219973531061765,0.8132225947497449,38,0.691652759406772,2.9176369736548127,1118,0.5330836462176551,0.9507375442657985,1095,0.5004874906219551,0.546413155032484
bge_m3_cantillation,2392,0.6923344669948489,0.6820666834747205,0.07968920500451325,0.6507752537727356,0.05547564849257469,818,0.7491433512070784,79,0.6933454095166881,0.7673665274890917,62,0.6953342022478735,0.8032163604378953,38,0.7737608011497626,2.21692852123195,1118,0.700255229277945,0.8919224353336264,1095,0.6811787948712864,0.54805201786186
voyage_4_cantillation,2392,0.5425523308425877,0.5269462305168414,0.12555308217217623,0.4807702302932739,0.09009959548711777,818,0.6857089670080397,79,0.5278534674364441,0.5225687961041073,62,0.5049925030474947,0.2688388624084775,38,0.7236645645191306,2.695842671797402,1118,0.5519901162092226,0.7904573325873754,1095,0.5298182766076789,0.5443758770417314
voyage_4_vocalized,2392,0.5222989592913749,0.5052082036851632,0.13236869358326694,0.45830094814300537,0.09455830603837967,818,0.6768100427094561,79,0.5101340657686295,0.5481603869319098,62,0.4792112026532942,0.2211360946102577,38,0.7135997561609143,2.6999088574438646,1118,0.531751951567195,0.776780026012491,1095,0.5093259838159856,0.5396145279111705
bge_m3_vocalized,2392,0.6444508151325714,0.6347750823620141,0.09470898934169879,0.599847137928009,0.06850866973400116,818,0.6510661698401855,79,0.6334912821069315,0.491093234032316,62,0.6458094524026852,0.6708977805748406,38,0.7504435350999621,2.1982093325804484,1118,0.6549088957072109,0.8037195583126971,1095,0.630808541303412,0.45193409090582154
alephbert_consonantal,2392,0.5727867243159676,0.5661894197123585,0.12178607125531934,0.5066942572593689,0.10818828642368317,818,0.6109022449784413,79,0.5701971352041136,0.5869662977751307,62,0.539538469057437,0.3035838063784902,38,0.6937641207612347,1.7291138411164901,1118,0.588724159703014,0.7582142684320041,1095,0.554385606086038,0.4408180442002932
cohere_embed_v4_consonantal,2392,0.3448885592510682,0.3155015287065545,0.14549548271444435,0.2986777424812317,0.07975941896438599,818,0.5793775502611231,79,0.34380449183293216,0.5657858336687529,62,0.325202617126146,0.33256103152855404,38,0.5623320077072798,3.3056191814006874,1118,0.3493324288612531,0.6350934728177952,1095,0.3339982144768721,0.44283762913834224
voyage_4_consonantal,2392,0.5456802203752747,0.5311404001133201,0.12741039688143493,0.49398577213287354,0.09516527503728867,818,0.5432070492324617,79,0.5313908318525176,0.3930536606444691,62,0.5047111922252945,0.11270308511395988,38,0.7450450718266722,2.6381398004201215,1118,0.5531272593518693,0.6214607922461461,1095,0.534508793441586,0.42581730881179375
cohere_embed_v4_vocalized,2392,0.3797366695239706,0.3499416928114572,0.1399488786384435,0.3409608006477356,0.07835124433040619,818,0.49489793311664176,79,0.390518548087889,0.6325074714980787,62,0.3598251762165616,0.2407667642044739,38,0.5675586417147447,2.8920771201979756,1118,0.3854630719985243,0.5679842321727937,1095,0.36772150173283763,0.3415478760267355
cohere_embed_v4_cantillation,2392,0.39850857293451547,0.3701851778554246,0.13504176626851122,0.3628421127796173,0.07640545070171356,818,0.46680517983121145,79,0.40688610812943826,0.5764509592616429,62,0.3821840349301531,0.2531484596046239,38,0.5814816725023908,2.861570185304463,1118,0.4042938392858052,0.5425231593491306,1095,0.38657194326469857,0.31057771752073526
gte_multilingual_base_vocalized,2392,0.7927534331961444,0.7902094440114391,0.07081612069822142,0.7923075556755066,0.05821970850229263,818,0.0076585323442540315,79,0.7766580108389436,-0.2688014976225231,62,0.7897182664398783,-0.04447444520486264,38,0.8118693498498635,0.33599952108290887,1118,0.7922016765654538,-0.0018186128508116148,1095,0.7939864722695492,0.028837598765656978
gte_multilingual_base_cantillation,2392,0.8140451701214397,0.8130350805608392,0.06614736722087,0.815723717212677,0.05427445098757744,818,-0.030927021106514057,79,0.8002076747283612,-0.2858811503752879,62,0.8096109595093132,-0.11262679938969718,38,0.8294349236578397,0.2526272711316958,1118,0.8131086906894396,-0.048181538010139545,1095,0.8157166373037209,-0.0001304464407704185
gte_multilingual_base_consonantal,2392,0.7143295116870098,0.7061303626300223,0.0706178322423122,0.7176674008369446,0.0562458373606205,818,-0.05934464320504165,79,0.6961152850309713,-0.3831770814930136,62,0.7169356263245225,-0.013010287458791781,38,0.73020816935436,0.22296349571631693,1118,0.7111226694773858,-0.1163593906087168,1095,0.7182191969813493,0.00981043523037731
