model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
morph_prs_gn_sp_plus_psalm,2392,1.0,1.0,1.697209859777805e-16,0.9811887145042419,0.011350465938448906,818,1.657313946208688,79,1.0,1.657313946208688,62,1.0,1.657313946208688,38,1.0,1.657313946208688,1118,1.0,1.657313946208688,1095,1.0,1.657313946208688
morph_gn_1_2_3gram_psalm,2392,1.0,1.0,1.8454297522681774e-16,0.940563440322876,0.03899453207850456,818,1.5242280522167868,79,1.0,1.5242280522167868,62,1.0,1.5242280522167868,38,1.0,1.5242280522167868,1118,1.0,1.5242280522167868,1095,1.0,1.5242280522167868
morph_nu_1_2_3gram_psalm,2392,1.0,1.0,1.6873135080095714e-16,0.9441856741905212,0.03752345219254494,818,1.4874517814373116,79,1.0,1.4874517814373116,62,1.0,1.4874517814373116,38,1.0,1.4874517814373116,1118,1.0,1.4874517814373116,1095,1.0,1.4874517814373116
morph_vs_sp_plus_psalm,2392,1.0,1.0,1.7262601228116622e-16,0.9852373003959656,0.009962349198758602,818,1.4818492415296975,79,1.0,1.4818492415296975,62,1.0,1.4818492415296975,38,1.0,1.4818492415296975,1118,1.0,1.4818492415296975,1095,1.0,1.4818492415296975
morph_gn_sp_plus_psalm,2392,1.0,1.0,1.6233419211003246e-16,0.9680075645446777,0.02180328033864498,818,1.4673221165999333,79,1.0,1.4673221165999333,62,1.0,1.4673221165999333,38,1.0,1.4673221165999333,1118,1.0,1.4673221165999333,1095,1.0,1.4673221165999333
morph_prs_nu_sp_plus_psalm,2392,1.0,1.0,1.5192182658769043e-16,0.9798884987831116,0.01378836203366518,818,1.4585852306303602,79,1.0,1.4585852306303602,62,1.0,1.4585852306303602,38,1.0,1.4585852306303602,1118,1.0,1.4585852306303602,1095,1.0,1.4585852306303602
morph_nu_sp_plus_psalm,2392,1.0,1.0,1.4570627319770752e-16,0.9695842862129211,0.02106868475675583,818,1.4436455876689613,79,1.0,1.4436455876689613,62,1.0,1.4436455876689613,38,1.0,1.4436455876689613,1118,1.0,1.4436455876689613,1095,1.0,1.4436455876689613
sp_1gram_psalm,2392,1.0,1.0,1.1076673126928937e-16,0.9581596255302429,0.029262874275445938,818,1.4298108270541539,79,1.0,1.4298108270541539,62,1.0,1.4298108270541539,38,1.0,1.4298108270541539,1118,1.0,1.4298108270541539,1095,1.0,1.4298108270541539
morph_ps_1_2_3gram_psalm,2392,1.0,1.0,2.0122672284750407e-16,0.9704105257987976,0.02136402390897274,818,1.3850140931912653,79,1.0,1.3850140931912653,62,1.0,1.3850140931912653,38,1.0,1.3850140931912653,1118,1.0,1.3850140931912653,1095,1.0,1.3850140931912653
morph_st_1_2_3gram_psalm,2392,1.0,1.0,1.6454120609289062e-16,0.9593146443367004,0.02974673919379711,818,1.367724892407145,79,1.0,1.367724892407145,62,1.0,1.367724892407145,38,1.0,1.367724892407145,1118,1.0,1.367724892407145,1095,1.0,1.367724892407145
morph_st_sp_plus_psalm,2392,1.0,1.0,1.624293934819787e-16,0.9760947823524475,0.017733395099639893,818,1.3480338938615273,79,1.0,1.3480338938615273,62,1.0,1.3480338938615273,38,1.0,1.3480338938615273,1118,1.0,1.3480338938615273,1095,1.0,1.3480338938615273
morph_ps_1_2gram_psalm,2392,1.0,1.0,1.9849372822983958e-16,0.9821088910102844,0.013591726310551167,818,1.3163235177732227,79,1.0,1.3163235177732227,62,1.0,1.3163235177732227,38,1.0,1.3163235177732227,1118,1.0,1.3163235177732227,1095,1.0,1.3163235177732227
morph_gn_1_2gram_psalm,2392,1.0,1.0,1.7387521750033573e-16,0.9606166481971741,0.03095330484211445,818,1.272347234122856,79,1.0,1.272347234122856,62,1.0,1.272347234122856,38,1.0,1.272347234122856,1118,1.0,1.272347234122856,1095,1.0,1.272347234122856
morph_vt_1_2_3gram_psalm,2392,1.0,1.0,2.752814346445404e-16,0.9740747213363647,0.02060815319418907,818,1.2580107697833625,79,1.0,1.2580107697833625,62,1.0,1.2580107697833625,38,1.0,1.2580107697833625,1118,1.0,1.2580107697833625,1095,1.0,1.2580107697833625
morph_nu_1_2gram_psalm,2392,1.0,1.0,1.7353406724611918e-16,0.9630314111709595,0.02995155192911625,818,1.2342795764483554,79,1.0,1.2342795764483554,62,1.0,1.2342795764483554,38,1.0,1.2342795764483554,1118,1.0,1.2342795764483554,1095,1.0,1.2342795764483554
morph_suffix_1_2_3gram_psalm,2392,1.0,1.0,1.6001626918673594e-16,0.9684329460274193,0.02588952630330488,818,1.2192982445009477,79,1.0,1.2192982445009477,62,1.0,1.2192982445009477,38,1.0,1.2192982445009477,1118,1.0,1.2192982445009477,1095,1.0,1.2192982445009477
